95.47.51.220 - - [13/Oct/2019:07:56:40 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
37.134.202.38 - - [13/Oct/2019:08:30:03 +0200] "GET / HTTP/1.1" 200 13875 "-" "python-requests/2.12.4"
37.134.202.38 - - [13/Oct/2019:08:30:42 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [13/Oct/2019:08:30:42 +0200] "\n" 400 3245 "-" "-"
46.119.122.97 - - [13/Oct/2019:08:35:01 +0200] "GET / HTTP/1.1" 301 509 "https://goblacked.com/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
46.119.122.97 - - [13/Oct/2019:08:35:01 +0200] "GET / HTTP/1.1" 301 509 "https://zagadki-rus.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
46.119.122.97 - - [13/Oct/2019:08:35:02 +0200] "GET / HTTP/1.1" 301 509 "https://goblacked.com/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
46.119.122.97 - - [13/Oct/2019:08:35:02 +0200] "GET / HTTP/1.1" 301 509 "https://zagadki-rus.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
46.119.122.97 - - [13/Oct/2019:08:35:02 +0200] "GET / HTTP/1.1" 301 509 "https://goblacked.com/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
46.119.122.97 - - [13/Oct/2019:08:35:02 +0200] "GET / HTTP/1.1" 301 509 "https://zagadki-rus.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
186.28.4.127 - - [13/Oct/2019:08:51:40 +0200] "GET / HTTP/1.1" 200 13693 "https://www.google.com.co/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:40 +0200] "GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 19731 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.carousel.css HTTP/1.1" 200 953 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.theme.css HTTP/1.1" 200 1029 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 6049 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.transitions.css HTTP/1.1" 200 1117 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/hover/hover.min.css HTTP/1.1" 200 6941 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/jquery.fs.wallpaper/jquery.fs.wallpaper.css HTTP/1.1" 200 968 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/js/plugins/retina/retina.min.js HTTP/1.1" 200 4743 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css HTTP/1.1" 200 2360 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/css/spectrum-slate.css HTTP/1.1" 200 9423 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 9903 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
186.28.4.127 - - [13/Oct/2019:08:51:41 +0200] "GET /static/assets/js/jquery-1.10.2.js HTTP/1.1" 200 28240 "https://kibotics.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"
54.36.149.81 - - [13/Oct/2019:09:09:50 +0200] "GET /robots.txt HTTP/1.1" 404 19843 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)"
83.53.87.57 - - [13/Oct/2019:09:11:14 +0200] "GET / HTTP/1.1" 200 13883 "https://ticuribarri.blogspot.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
83.53.87.57 - - [13/Oct/2019:09:11:14 +0200] "GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 19731 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
