2 | 28/11/2019 10:38:08 | ralvarezmar | 83.32.2.187 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
1 | 28/11/2019 10:38:15 | donperfecto | 83.32.2.187 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
3 | 28/11/2019 10:38:21 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
4 | 28/11/2019 10:39:07 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
3 | 28/11/2019 10:39:11 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
3 | 28/11/2019 10:39:37 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
4 | 28/11/2019 10:39:38 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
4 | 28/11/2019 10:40:00 | donperfecto | 83.32.2.187 | websim | follow_ball_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
1 | 28/11/2019 11:03:38 | donperfecto | 193.147.79.200 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
3 | 28/11/2019 11:03:50 | donperfecto | 193.147.79.200 | websim | siguelinea_f1_scratch_vision | 193.147.79.200 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
4 | 28/11/2019 11:05:20 | donperfecto | 193.147.79.200 | websim | siguelinea_f1_scratch_vision | 193.147.79.200 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
3 | 28/11/2019 11:05:24 | donperfecto | 193.147.79.200 | websim | cuadrado_drone_scratch | 193.147.79.200 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
4 | 28/11/2019 11:05:54 | donperfecto | 193.147.79.200 | websim | cuadrado_drone_scratch | 193.147.79.200 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
