3 | 27/12/2019 14:13:02 | AnonymusUser | 5.180.245.196 | websim | sigue_linea_f1_python_websim | 5.180.245.196 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 UBrowser/6.2.4091.2 Safari/537.36
3 | 27/12/2019 14:13:04 | AnonymusUser | 5.180.245.196 | websim | siguelinea_pibot_scratch_vision | 5.180.245.196 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 UBrowser/6.2.4091.2 Safari/537.36
3 | 27/12/2019 15:06:26 | d.valladaresv | 46.222.27.29 | simulator | sigue_linea_ir | 212.128.254.198 | ad6264839b68971d7e25153771e78f078fbbe9d0e95f6f3b102c733ea0735835 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.2 Safari/605.1.15
4 | 27/12/2019 15:07:41 | d.valladaresv | 46.222.27.29 | simulator | sigue_linea_ir | 212.128.254.198 | ad6264839b68971d7e25153771e78f078fbbe9d0e95f6f3b102c733ea0735835 | 
3 | 27/12/2019 15:07:53 | d.valladaresv | 46.222.27.29 | simulator | introduccion_python | 212.128.255.74 | 2e0bb403a4ca078390791bfc21d6f84f92b61536102f09fc9f8de704c236b6b5 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.2 Safari/605.1.15
4 | 27/12/2019 15:11:56 | d.valladaresv | 46.222.27.29 | simulator | introduccion_python | 212.128.255.74 | 2e0bb403a4ca078390791bfc21d6f84f92b61536102f09fc9f8de704c236b6b5 | 
3 | 27/12/2019 19:55:38 | jconde99 | 189.45.84.233 | simulator | sigue_linea_ir | 212.128.254.198 | 8988b2da1a23b51c7265395d852933db2027a69b34e46a39e2fb1f289c76e357 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
4 | 27/12/2019 20:11:03 | jconde99 | 189.45.84.233 | simulator | sigue_linea_ir | 212.128.254.198 | 8988b2da1a23b51c7265395d852933db2027a69b34e46a39e2fb1f289c76e357 | 
3 | 27/12/2019 20:11:48 | jconde99 | 189.45.84.233 | simulator | gato_raton | 212.128.254.198 | ad7b9e138f5fd652667575cc08d8d4e189a152187449c6121a1003ab312ac303 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
4 | 27/12/2019 20:12:20 | jconde99 | 189.45.84.233 | simulator | gato_raton | 212.128.254.198 | ad7b9e138f5fd652667575cc08d8d4e189a152187449c6121a1003ab312ac303 | 
2 | 27/12/2019 20:13:22 | jconde99 | 189.45.84.233 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
