3 | 09/01/2020 01:13:37 | AnonymusUser | 40.77.167.84 | websim | sigue_linea_f1_python_websim | 40.77.167.84 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
3 | 09/01/2020 03:33:40 | AnonymusUser | 176.9.4.105 | websim | sigue_linea_f1_python_websim | 176.9.4.105 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
3 | 09/01/2020 03:33:43 | AnonymusUser | 176.9.4.105 | websim | siguelinea_pibot_scratch_vision | 176.9.4.105 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
3 | 09/01/2020 09:51:50 | AnonymusUser | 173.0.94.255 | websim | siguelinea_pibot_scratch_vision | 173.0.94.255 | [NO CONTAINER] Browser | Dispatch/0.11.3
3 | 09/01/2020 12:43:27 | AnonymusUser | 46.229.168.147 | websim | sigue_linea_f1_python_websim | 46.229.168.147 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)
3 | 09/01/2020 15:43:17 | AnonymusUser | 38.93.172.2 | websim | sigue_linea_f1_python_websim | 38.93.172.2 | [NO CONTAINER] Browser | Dispatch/0.11.3
3 | 09/01/2020 17:19:29 | admin | 213.77.222.11 | simulator | introduccion_python | 212.128.255.74 | 15ee629188de8cda3ba1c0bbca9e2fb59f4f8b73fe7c4ea5a8a471f9cffc33f3 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36
4 | 09/01/2020 17:30:23 | admin | 213.77.222.11 | simulator | introduccion_python | 212.128.255.74 | 15ee629188de8cda3ba1c0bbca9e2fb59f4f8b73fe7c4ea5a8a471f9cffc33f3 | 
1 | 09/01/2020 22:26:50 | d.valladaresv | 79.145.52.215 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
3 | 09/01/2020 22:27:04 | d.valladaresv | 79.145.52.215 | websim | cuadrado_drone_scratch | 79.145.52.215 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 09/01/2020 22:29:44 | d.valladaresv | 79.145.52.215 | websim | cuadrado_drone_scratch | 79.145.52.215 | [NO CONTAINER] Browser | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
