3 | 12/01/2020 00:24:06 | AnonymusUser | 106.6.178.201 | websim | siguelinea_pibot_scratch_vision | 106.6.178.201 | [NO CONTAINER] Browser | Mozilla/5.0 (Linux; Android 7.0; FRD-AL00 Build/HUAWEIFRD-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043602 Safari/537.36 MicroMessenger/6.5.16.1120 NetType/WIFI Language/zh_CN
3 | 12/01/2020 11:57:21 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a2013ba5f924196f198cc1d6181e77f6a4d4591ee2c2625466432531555ad11d | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36
4 | 12/01/2020 12:24:10 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a2013ba5f924196f198cc1d6181e77f6a4d4591ee2c2625466432531555ad11d | 
3 | 12/01/2020 12:25:05 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | 3b9f5d3af4cfabfd7dce48a86e077f1033afe98f988568fe599298131cd7d937 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36
4 | 12/01/2020 12:49:59 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | 3b9f5d3af4cfabfd7dce48a86e077f1033afe98f988568fe599298131cd7d937 | 
3 | 12/01/2020 19:44:56 | d.valladaresv | 79.145.52.215 | simulator | introduccion_python | 212.128.255.74 | 5c0ad861d89c533a69807b2b16c668358141ba40db8bbd7feea8a634bfbf9323 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 19:46:02 | d.valladaresv | 79.145.52.215 | simulator | introduccion_python | 212.128.255.74 | 5c0ad861d89c533a69807b2b16c668358141ba40db8bbd7feea8a634bfbf9323 | 
3 | 12/01/2020 19:47:52 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | e13b2a99667a39c809b8853f9d6c4ddbe4cdc4535b0506cc70cabb4416eb9b27 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 20:01:09 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | e13b2a99667a39c809b8853f9d6c4ddbe4cdc4535b0506cc70cabb4416eb9b27 | 
3 | 12/01/2020 20:01:22 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | 2644b2a89b5b4307d91be879b96b3b49a4c5ca63fba3a6cc84dd6bc4a82f8b3d | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 20:03:05 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | 2644b2a89b5b4307d91be879b96b3b49a4c5ca63fba3a6cc84dd6bc4a82f8b3d | 
3 | 12/01/2020 20:03:31 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | a2d30df45d3f506c655b31283720c892581da8538abab712ed3985c12ab63941 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 20:14:26 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | a2d30df45d3f506c655b31283720c892581da8538abab712ed3985c12ab63941 | 
3 | 12/01/2020 20:14:54 | d.valladaresv | 79.145.52.215 | simulator | choca_gira_us | 212.128.255.74 | 6f8eaf7746f586842a77092404f8725e6f4e8754122ca2bb1f2ef59b38302697 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 20:38:17 | d.valladaresv | 79.145.52.215 | simulator | choca_gira_us | 212.128.255.74 | 6f8eaf7746f586842a77092404f8725e6f4e8754122ca2bb1f2ef59b38302697 | 
3 | 12/01/2020 20:38:35 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | 1e599d9997a0c8c72f6a21845c6126870d996315b26fabd1983214a3a0e9b67a | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 20:49:18 | d.valladaresv | 79.145.52.215 | simulator | sigue_linea_ir | 212.128.254.198 | 1e599d9997a0c8c72f6a21845c6126870d996315b26fabd1983214a3a0e9b67a | 
3 | 12/01/2020 20:49:57 | d.valladaresv | 79.145.52.215 | simulator | choca_gira_us | 212.128.255.74 | a5058b620cb93b9c639d1d8768625a9d371928d0abbd7e713447ece0751e274d | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 12/01/2020 21:03:13 | d.valladaresv | 79.145.52.215 | simulator | choca_gira_us | 212.128.255.74 | a5058b620cb93b9c639d1d8768625a9d371928d0abbd7e713447ece0751e274d | 
