1 | 08/02/2020 12:43:31 | ralvarezmar | 81.0.25.246 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
2 | 08/02/2020 12:44:10 | ralvarezmar | 81.0.25.246 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
1 | 08/02/2020 12:44:16 | donperfecto | 81.0.25.246 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
3 | 08/02/2020 12:44:35 | donperfecto | 81.0.25.246 | websim | SSPib006 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
2 | 08/02/2020 12:54:19 | donperfecto | 81.0.25.246 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
4 | 08/02/2020 12:54:19 | donperfecto | 81.0.25.246 | websim | SSPib006 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
1 | 08/02/2020 12:54:24 | ralvarezmar | 81.0.25.246 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
3 | 08/02/2020 12:54:48 | ralvarezmar | 81.0.25.246 | websim | PSPib011 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
1 | 08/02/2020 12:58:57 | Rosana | 83.138.238.175 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 08/02/2020 12:59:15 | ralvarezmar | 81.0.25.246 | websim | PSPib011 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
4 | 08/02/2020 12:59:15 | ralvarezmar | 81.0.25.246 | websim | PSPib011 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
2 | 08/02/2020 12:59:30 | Rosana | 83.138.238.175 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 08/02/2020 13:00:03 | ralvarezmar | 81.0.25.246 | websim | PSPib011 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
3 | 08/02/2020 13:01:18 | ralvarezmar | 81.0.25.246 | websim | SSFo1015 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
4 | 08/02/2020 13:13:10 | ralvarezmar | 81.0.25.246 | websim | SSFo1015 | 81.0.25.246 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36 OPR/66.0.3515.72
